Ticker,Name,Sector,Market Cap,Revenue,Volatility,Weights,1d Value,5d Value,1mo Value,3mo Value,6mo Value,1y Value,2y Value,5y Value,Initial Value
NVDA,NVIDIA Corporation,Technology,3298803056640,96307003392,27.914659472881166,3.7501743293638166,375.0174329363817,382.6882353944563,344.43531024388835,434.52887575825054,399.16765053230597,1031.417985166073,3063.5474803745233,8496.20921566804,375.0174329363817
NFLX,"Netflix, Inc.",Communication Services,388580671488,37587279872,106.85527306213955,3.1445670485241646,314.45670485241646,310.3496530200192,318.51057397202834,405.25804285170256,416.628090919698,581.4708248919782,959.3800238466025,858.1712953156542,314.45670485241646
NOW,"ServiceNow, Inc.",Technology,225143422976,10464000000,116.7696939336418,2.913112745384176,291.31127453841765,281.33903270916346,303.60862758742013,343.4643536629338,424.23687973243597,453.6409382812389,811.1388465963336,1122.0692212751935,291.31127453841765
SHOP,Shopify Inc.,Technology,140573818880,8211999744,14.49732983988734,2.849367449836643,284.9367449836643,267.7579510324854,291.5463609852603,387.5153820982608,477.37748853065483,407.720747902092,857.8021186632836,797.7760371299476,284.9367449836643
APP,Applovin Corporation,Technology,114433515520,4289730048,85.64278886332605,2.8005761763397796,280.05761763397794,277.63939607651884,300.0780770252716,757.1903125783949,1215.281777511136,2220.8568442342435,9362.435890962293,0.0,280.05761763397794
AXON,"Axon Enterprise, Inc.",Industrials,48169394176,1940449024,113.87418439391206,2.69171065604205,269.171065604205,261.8707443174812,269.35014467332707,431.6207291336616,584.0036910635474,662.0178847261255,973.172332307244,2353.7192153483234,269.171065604205
SMCI,"Super Micro Computer, Inc.",Technology,18497998848,14942854144,25.41342915862862,2.671280766802917,267.1280766802917,252.34977062322363,284.1271301790952,181.10863335461877,93.21715189071152,277.42048084291383,1006.1495050258136,3487.014759112732,267.1280766802917
MPWR,"Monolithic Power Systems, Inc.",Technology,28937269248,2039447040,115.02018723568152,2.637053461422085,263.7053461422085,248.85507767466999,273.2637268651835,175.35958924454494,189.8990089191655,253.21439404013964,432.59149171112796,906.2409326498748,263.7053461422085
AFRM,"Affirm Holdings, Inc.",Technology,20614635520,2524931072,11.2963408731351,2.605527740346033,260.5527740346033,234.73351338639313,260.1564418064601,382.86735235401005,572.5705874818282,356.7518652174948,1798.3894339625544,0.0,260.5527740346033
RL,Ralph Lauren Corporation,Consumer Cyclical,14299996160,6740100096,23.006238283128877,2.5913836208371053,259.13836208371055,257.59466787950447,288.1150208145881,322.3483633514683,329.7025837590021,410.815725644986,603.8847710468785,560.320464646558,259.13836208371055
SOFI,"SoFi Technologies, Inc.",Financial Services,16657052672,2519211008,2.6702331341633934,2.5901828479527964,259.01828479527967,235.540934128495,264.8854570145042,502.01145607509375,629.1029529149522,412.44093659904763,856.88165621147,0.0,259.01828479527967
NBIX,"Neurocrine Biosciences, Inc.",Healthcare,13710868480,2242800128,9.902178789663695,2.559835310231472,255.9835310231472,260.54331835640465,277.322314419478,294.3973613794883,257.60041179841704,286.11165611309485,288.06124611389845,319.76098267166367,255.9835310231472
DUOL,"Duolingo, Inc.",Technology,15048010752,689459008,53.34926144854413,2.557819256399806,255.78192563998059,250.94090056403599,256.17128099376333,323.780348200585,423.72704503514296,366.7872851010453,1195.6292967891534,0.0,255.78192563998059
TKO,"TKO Group Holdings, Inc.",Communication Services,11648227328,2776140032,18.165218279634097,2.544279302757344,254.4279302757344,248.3548632823168,266.7878118665932,299.34904429166875,341.66511003947437,462.16888072707957,539.6727941776926,599.6022098875092,254.4279302757344
DOCS,"Doximity, Inc.",Healthcare,10796398592,516848992,9.246259077080827,2.5231464113615028,252.3146411361503,273.86179604372046,303.98658664386414,351.59894358808384,530.2091539315039,520.1909645554256,409.40955131282936,0.0,252.3146411361503
RELY,"Remitly Global, Inc.",Technology,4478159360,1176825984,3.1693198646376004,2.4375383889868854,243.7538388986885,253.74192543764445,266.5026288657996,393.662460448206,456.2313312154447,293.9346371346604,579.5241128950936,0.0,243.7538388986885
PAY,"Paymentus Holdings, Inc.",Technology,4262482944,778668032,5.455383359436635,2.4260411665289623,242.60411665289624,232.0856216677288,228.5062148393217,376.2839574468562,443.4559797230026,459.16220889576584,1061.0052164306505,0.0,242.60411665289624
SHC,Sotera Health Company,Healthcare,3750084352,1120477056,1.960844940820195,2.423247072490027,242.32470724900267,246.98838529978647,258.5317572894349,192.81124917041578,267.14229869850556,192.6954439651982,391.74349607999807,0.0,242.32470724900267
ADMA,ADMA Biologics Inc,Healthcare,4113185792,382808992,5.771050858749174,2.419385568434961,241.9385568434961,221.79825597027298,197.63995059023065,210.1712757100067,382.7027997076906,1019.3052494272079,1140.8484367221479,997.5665891190514,241.9385568434961
ALKT,"Alkami Technology, Inc.",Technology,3931442432,315561984,5.260069176357134,2.4145160763994986,241.45160763994988,237.864186621704,243.8199851247535,301.8723667818566,367.6756106117843,399.05308840436686,680.0278185390695,0.0,241.45160763994988
FOLD,"Amicus Therapeutics, Inc.",Healthcare,2928299008,493671008,1.2882907924170348,2.3997099496823293,239.97099496823293,237.54705930065953,247.54903120626503,209.6003333770223,233.07391089150258,178.70181031362083,196.46748070150713,229.43568745946513,239.97099496823293
RSI,"Rush Street Interactive, Inc.",Consumer Cyclical,3085264384,863766976,2.6520366702039895,2.396813922960226,239.6813922960226,238.11370613902366,243.05970046266833,313.5353790215307,347.0810165904511,741.2770575606147,1017.529385671155,0.0,239.6813922960226
GRND,Grindr Inc.,Technology,3057153536,319100992,2.182699685184504,2.3945787384263406,239.45787384263406,244.97728425776657,277.6299788081546,345.1303571471793,430.42737477395536,488.2232956510175,727.1957556198731,0.0,239.45787384263406
CLSK,"CleanSpark, Inc.",Financial Services,3128134144,342212992,3.6864842824064694,2.392107031128383,239.2107031128383,213.52623497981165,205.53854866492884,290.60057716820404,154.12418587036376,231.11946023582396,1275.02747571291,490.75642708055625,239.2107031128383
AMBA,"Ambarella, Inc.",Technology,2957922816,220408000,6.951663485894311,2.3817812028283183,238.17812028283183,221.6475186798955,275.5950139414317,312.215375231682,305.33116908131916,269.398411592873,204.7010104716663,289.13185103733383,238.17812028283183
TWST,Twist Bioscience Corporation,Healthcare,2845545728,295209984,6.891109059194619,2.378088830126179,237.8088830126179,235.40279688632805,273.65716674990085,251.723499549224,223.67190998640572,315.1937545529749,471.6821468373028,476.0149128130916,237.8088830126179
FLYW,Flywire Corporation - Voting,Technology,2504514048,475139008,3.0796935666369656,2.3702911655960035,237.02911655960037,225.8114579711558,208.08529672566118,289.35087832923983,293.44377922866255,203.12456210785555,217.87196349468323,0.0,237.02911655960037
QUBT,Quantum Computing Inc.,Technology,2272310528,386000,2.777852130132583,2.357685695330194,235.7685695330194,374.931626501956,872.7399565719193,6100.209145289774,7224.769528978476,4699.369205147989,2502.555708776186,1384.7474643455532,235.7685695330194
MNKD,MannKind Corporation,Healthcare,1889079168,267200000,1.162264732628663,2.353019971480854,235.3019971480854,257.0683672930507,233.59690373140597,247.21145134040214,315.4243866752522,471.29199475658254,309.9651379125762,1230.3959758992826,235.3019971480854
WGS,GeneDx Holdings Corp.,Healthcare,2126286464,267228000,24.19202998102807,2.3434641960271065,234.34641960271065,225.32190353831135,251.67772043346758,451.99134692387787,660.5394697587768,6478.0048370462155,2097.896533298893,0.0,234.34641960271065
TARS,"Tarsus Pharmaceuticals, Inc.",Healthcare,2022585216,129621000,8.114504383301977,2.3394048091496207,233.94048091496208,239.2768397263948,266.7627241910893,373.04974971875856,474.608544698003,615.8104763483136,858.376611929627,0.0,233.94048091496208
VITL,"Vital Farms, Inc.",Consumer Defensive,1738009216,576129024,9.429902639090642,2.325319818852502,232.53198188525022,237.55970152326478,297.4280965988989,268.83756333921406,218.0296159335542,616.9247338340701,600.0776315356349,0.0,232.53198188525022
ORC,"Orchid Island Capital, Inc.",Real Estate,633207296,75695000,0.2532697405529135,2.317632552569246,231.7632552569246,227.46071680154554,237.12295583274408,242.81087434749747,237.75855284228027,253.38935202475696,241.12426904222522,145.31793817152942,231.7632552569246
DXPE,"DXP Enterprises, Inc.",Industrials,1238013696,1738169984,11.687990238142476,2.29533673198989,229.533673198989,225.08223473378933,261.94465844980755,343.42972481558144,373.15777701329586,533.3023594882409,659.1050587577254,458.48606588882126,229.533673198989
ARVN,"Arvinas, Inc.",Healthcare,1269818112,161100000,8.200176876087562,2.289069274108299,228.9069274108299,222.75934516863762,168.46673878705388,174.6573094010949,167.73195991035914,112.32607357691076,125.33925670420328,100.43209926495527,228.9069274108299
INOD,Innodata Inc.,Technology,1247302912,137392992,10.348937206031472,2.2862858075876034,228.62858075876034,260.4161894011845,212.70419580482488,636.0488260301076,737.1300421448037,1150.0952813246238,3266.8820285196725,8333.318060837904,228.62858075876034
GCT,GigaCloud Technology Inc,Technology,734622592,1109997056,6.05312649329534,2.2369058833465587,223.69058833465584,200.9405060657243,166.28408696327404,223.69058833465584,136.74641416768677,269.1793570328258,693.9052199858513,0.0,223.69058833465584
TALK,"Talkspace, Inc.",Healthcare,503390560,181291008,0.5543897355225423,2.2347922347468594,223.47922347468594,199.39164890150136,201.19882227485832,328.0631032527353,312.66105842059784,269.62270546685204,903.6202178537378,0.0,223.47922347468594
CDXC,ChromaDex Corporation,Consumer Defensive,419344288,91668000,1.6008303340729066,2.1821753325746602,218.21753325746602,194.79905513170294,157.0136552645704,320.3246536317125,438.8330400246823,826.2166677519848,788.1672517569448,279.2573935408585,218.21753325746602
VXRT,"Vaxart, Inc. - Common Stock",Healthcare,140946608,13928000,0.21277333428337816,2.1747914550467993,217.47914550467993,232.47771574105758,224.7284431532989,160.52032792825725,189.9113736971534,224.7284431532989,146.56203130859257,449.4568863065978,217.47914550467993
